id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19489912.0000000000000000,21000000.0000000000000000,509222963000.3354716201853152,2402656059.3610181693586936,26127.5147368718479396,-1.8257195888170369,26382.6880542700301319,https://blockchain.info/
ethereum,2,ETH,Ethereum,120226214.3854413600000000,,189655543645.3573258773004014,1134590506.4541368941460959,1577.4891076361082022,-1.2376212716989044,1587.7331687557286487,https://etherscan.io/
tether,3,USDT,Tether,83091630538.0002600000000000,,83141531051.9025964586980429,4247708868.2263038596754654,1.0006005480164397,-0.1529318308477512,1.0010522821788451,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,34820096008.8765796363394304,85844003.8242455231414494,208.7521364593760448,-0.9141577477206883,209.6601054190740694,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,5,USDC,USD Coin,26111078525.9845100000000000,,26123764063.3503697090119443,171192800.6690709059532413,1.0004858296968942,-0.1331737658207480,1.0013747774264592,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,22587123036.4468876188978080,215937235.1827079401542601,0.4974695795286347,-2.4065582402666472,0.5054033008534411,https://xrpcharts.ripple.com/#/graph/
cardano,7,ADA,Cardano,35108249742.2200000000000000,45000000000.0000000000000000,8580400519.0531492964513974,28630418.4097805927721415,0.2443984129671565,-0.3157921272983279,0.2447715224922424,https://cardanoexplorer.com/
dogecoin,8,DOGE,Dogecoin,141066326383.7052000000000000,,8566967798.4612579288924729,36100104.6413555123760190,0.0607300694508682,-1.5374235569346065,0.0611712423769184,http://dogechain.info/chain/Dogecoin
solana,9,SOL,Solana,411355889.0651075000000000,,7981649595.7494380450887785,39367957.3723326048378086,19.4032705205446557,-0.8725461071266329,19.4883727704721638,https://explorer.solana.com/
tron,10,TRX,TRON,89173253905.4676000000000000,,7522402943.3549468408498936,41880734.9936802696680600,0.0843571655614298,0.1415334802139923,0.0842518485395092,https://tronscan.org/#/
multi-collateral-dai,11,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5364150560.8165899128839285,3361505.4144204432089310,1.0030408197139927,-0.1505286250514627,1.0072955178774567,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
polkadot,12,DOT,Polkadot,1278241133.2500000000000000,,5130953909.2486806088203991,34434008.4350944535128233,4.0140735388501711,-0.1575145664344544,4.0250372977443771,https://polkascan.io/polkadot
polygon,13,MATIC,Polygon,9319469069.2849300000000000,10000000000.0000000000000000,4813477247.4993648894596514,34860818.2020718962080647,0.5164969390116444,-1.4125053107637400,0.5185549018352825,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
litecoin,14,LTC,Litecoin,73668901.7274352800000000,84000000.0000000000000000,4745242333.4763803826015218,60861520.0063592898172516,64.4130999947999625,-0.5671372114141623,64.4272333949730150,http://explorer.litecoin.net/chain/Litecoin
shiba-inu,15,SHIB,Shiba Inu,589346914631298.1000000000000000,,4314737970.5511665388217036,25461304.4452075904275648,0.0000073212192402,-1.2195362847193663,0.0000073641489566,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,162974.7617526900000000,,4257250830.1714975957386172,3241269.6468095864864726,26122.1478981620847063,-1.7491678667230786,26281.3629870085102362,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
bitcoin-cash,17,BCH,Bitcoin Cash,19508250.0000000000000000,21000000.0000000000000000,4018320608.5884450504617250,31616879.3294805114737728,205.9805778882495893,-1.7605816705614473,207.3947513436621115,https://blockchair.com/bitcoin-cash/blocks
chainlink,18,LINK,Chainlink,556849970.4527867000000000,1000000000.0000000000000000,4017359291.5481469117565617,96410204.4649381542078681,7.2144374691832085,1.0750259269016629,7.1304400919814839,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
unus-sed-leo,19,LEO,UNUS SED LEO,929263459.9000000000000000,,3480961390.6423388705383767,491484.3914307840588249,3.7459359383580330,-2.3509802877352546,3.7622492537305328,https://eospark.com/account/bitfinexleo1
avalanche,20,AVAX,Avalanche,353984538.6928996000000000,720000000.0000000000000000,3111873625.7891892130764538,23117348.5571874519855736,8.7909874179247839,-1.2935719529411109,8.9073982261123366,https://avascan.info/
trueusd,21,TUSD,TrueUSD,3104176323.6899996000000000,,3101867150.8904493845998564,51530005.2070380075981243,0.9992561077210958,-0.1448081301440801,1.0001378915688481,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
stellar,22,XLM,Stellar,27532075221.3222800000000000,50001806812.0000000000000000,3091661971.5620127563840508,22829107.6596334073389497,0.1122930962053913,-1.1293862179133226,0.1132659989318486,https://dashboard.stellar.org/
monero,23,XMR,Monero,18333612.7950620700000000,,2648028104.8485089293492697,24371910.3532762131452052,144.4356949417914117,0.5034985978388615,143.7823571916427175,http://moneroblocks.info/
okb,24,OKB,OKB,60000000.0000000000000000,,2551930887.3957681540000000,100727.6667151441960916,42.5321814565961359,-0.9799223166364165,42.8551722724799752,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
binance-usd,25,BUSD,BUSD,2471073359.3181715000000000,,2472518446.0933011758564919,114018388.8294281074274792,1.0005848012442368,-0.1493796582703480,1.0016687897344131,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
uniswap,26,UNI,Uniswap,577501031.0000000000000000,1000000000.0000000000000000,2449172746.3500617927561830,19795167.1624465833675831,4.2409841972213930,-0.5108047960751702,4.2653757494269488,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
ethereum-classic,27,ETC,Ethereum Classic,143082595.2122217000000000,210700000.0000000000000000,2157546458.3070655802757191,20802079.8413204640995038,15.0790279915385140,-0.9888225538468416,15.2615544587490576,http://gastracker.io/
cosmos,28,ATOM,Cosmos,248453201.0000000000000000,,1734082967.6599887310025449,27364357.7384976968346249,6.9795155010298649,-1.3079715264807311,7.0150401443695051,https://www.mintscan.io/
